note,filter,night,season,fiveSigmaDepth,airmass,observationStartMJD,numExposures,visitExposureTime,seeingFwhmEff,seeingFwhmGeom
DD:XMM_LSS,i,768,3,23.506106734526533,1.113058743532389,60986.15662540739,2.0,30.0,0.6317976456408696,0.5713376647167949
DD:XMM_LSS,i,772,3,24.019671822727,1.108823413309919,60990.16575895649,2.0,30.0,0.6814138362724189,0.6121221734159283
DD:XMM_LSS,i,779,3,24.038722604837766,1.106311051394299,60997.139956243795,2.0,30.0,0.6723678173832089,0.6046863458889977
DD:XMM_LSS,i,787,3,23.588164921154526,1.2317083921120315,61005.186447533284,2.0,30.0,0.9771077871699814,0.8551826010537247
DD:XMM_LSS,i,797,3,23.130436820192024,1.1346420499218994,61015.05603591346,2.0,30.0,1.1493532255339214,0.9967683513888834
DD:XMM_LSS,i,803,3,23.80382392453707,1.1253148130018993,61021.03855239944,2.0,30.0,0.732308691575549,0.6539577444751014
DD:XMM_LSS,i,809,3,23.99850187640899,1.4015013943604893,61027.1622576894,2.0,30.0,0.627259371085973,0.5676072030326698
DD:XMM_LSS,i,816,3,23.484866326619688,1.2049397069312338,61034.103228016305,2.0,30.0,1.0522500526868814,0.9169495433086166
DD:XMM_LSS,i,827,3,23.632882018157993,1.2252319440088093,61045.075053617766,2.0,30.0,0.7508367302583908,0.6691877922723972
DD:XMM_LSS,i,830,3,23.80960941691363,1.2327468356924274,61048.07071804034,2.0,30.0,0.7892964181441453,0.7008016557144874
DD:XMM_LSS,i,838,3,23.682066956791743,1.2940526836745292,61056.061914412305,2.0,30.0,0.8593597472675608,0.758393712253935
DD:XMM_LSS,i,845,3,23.39353144570378,1.3781381250520195,61063.06144459187,2.0,30.0,1.0586110284567671,0.9221782653914625
DD:XMM_LSS,i,858,3,23.297084916446323,1.6109624189673035,61076.051631455375,2.0,30.0,1.0888626354547462,0.9470450863438014
DD:XMM_LSS,i,860,3,23.18611634594464,1.6129531126719083,61078.048513041074,2.0,30.0,1.1862291036516024,1.0270803232016172
